AD-HOC COMMS REQUEST CHECKLIST,,,,,,,,
,,,,,,,,
TASK DETAILS,,,,,,,,
Task / Request Name:,,Date Assigned:,,Owner / Assignee:,,Status:,,
,,,,,,,,
,,,,,,,,
#,SECTION,STEP,CHECKLIST ITEM,COMPLETED,DATE COMPLETED,OWNER,NOTES,
,,,,,,,,
1,1 · Request Intake,Define the Purpose,Clearly understand the goal of the email (e.g. informational / action required / urgent alert),☐,,,
2,1 · Request Intake,Identify the Sender,Determine who the email is coming from (e.g. specific executive / team alias / no-reply address),☐,,,
3,1 · Request Intake,Determine the Timeline,Confirm the requested date and time for the email to go out,☐,,,
,,,,,,,,
4,2 · Recipient List Verification,Define the Audience,"Understand exactly who needs to receive this (e.g. all employees / specific departments / external partners)",☐,,,
5,2 · Recipient List Verification,Source the Data,Pull the recipient list from the appropriate database or directory,☐,,,
6,2 · Recipient List Verification,Verify Inclusion Criteria,Ensure the list accurately reflects the target audience requested,☐,,,
7,2 · Recipient List Verification,Verify Exclusion Criteria,"Remove anyone who should not receive the email (e.g. contractors / people on leave / previous opt-outs)",☐,,,
8,2 · Recipient List Verification,Check List Size,Confirm the total number of recipients matches expectations,☐,,,
9,2 · Recipient List Verification,Data Privacy Check,"Ensure the list is in BCC (if manual) or the mass-mailing tool is configured correctly to protect recipient privacy",☐,,,
,,,,,,,,
10,3 · Content & Draft Verification,Subject Line,Ensure it is clear / concise / and accurately reflects the email's urgency and content,☐,,,
11,3 · Content & Draft Verification,Pre-header Text,Verify the short summary text (if supported by your sending tool) is optimized,☐,,,
12,3 · Content & Draft Verification,Grammar & Spelling,Run a thorough spell-check and grammar check,☐,,,
13,3 · Content & Draft Verification,Tone & Clarity,Ensure the tone is appropriate for the audience and the message is easy to understand,☐,,,
14,3 · Content & Draft Verification,Call to Action (CTA),"If an action is required, verify the CTA is prominent and instructions are clear",☐,,,
15,3 · Content & Draft Verification,Link Verification,Click every hyperlink in the draft to ensure they go to the correct / active pages,☐,,,
16,3 · Content & Draft Verification,Attachment Check,"Verify that any required attachments are included / are the correct version / and are not too large (consider linking to a hosted file instead)",☐,,,
17,3 · Content & Draft Verification,Formatting & Accessibility,"Ensure fonts are standard / colors have high contrast / and any images have alt-text",☐,,,
,,,,,,,,
18,4 · Reviews & Approvals,Peer Review,Have a second set of eyes review the draft for blind spots or typos,☐,,,
19,4 · Reviews & Approvals,Stakeholder Approval,Send the final draft and recipient criteria to the original requester for sign-off,☐,,,
20,4 · Reviews & Approvals,Compliance / Legal / PR Approval,"(If applicable) Route highly sensitive or external communications through the necessary legal or corporate comms channels",☐,,,
,,,,,,,,
21,5 · Pre-Send Testing,Send Test Email,Send a test version to yourself and the requester,☐,,,
22,5 · Pre-Send Testing,Mobile / Desktop Check,View the test email on both a computer and a mobile device to ensure formatting doesn't break,☐,,,
23,5 · Pre-Send Testing,Dark Mode Check,Verify the email is readable if the user has Dark Mode enabled,☐,,,
,,,,,,,,
24,6 · Execution & Post-Send,Schedule / Send,Queue the email for the approved date and time / or hit send,☐,,,
25,6 · Execution & Post-Send,Verify Delivery,Confirm the email successfully left the outbox or sending platform,☐,,,
26,6 · Execution & Post-Send,Monitor Bounces,Check for delivery failures and update the contact list if necessary,☐,,,
27,6 · Execution & Post-Send,Monitor Replies,Keep an eye on the reply-to inbox for the first hour to catch any immediate questions or out-of-office loops,☐,,,
28,6 · Execution & Post-Send,Report Back,"(Optional) Provide the requester with confirmation of send and any relevant metrics (open rates / click rates) if using an analytics tool",☐,,,
,,,,,,,,
,,,,,,,,
SUMMARY,,,,,,,,
Total Items:,28,,,,,,,
Completed:,0,,,,,,,
Remaining:,28,,,,,,,
